Date,PlayerNM,PTS,REB,AST,STL,BLK,TOV,PF,MIN,Team
22-Apr,Kevin Durant,34,13,2,0,1,3,0,40,Warriors
22-Apr,Draymond Green,9,18,9,1,0,5,4,41,Warriors
22-Apr,JaVale McGee,7,7,0,0,0,2,3,16,Warriors
22-Apr,Klay Thompson,12,5,1,1,0,3,2,42,Warriors
22-Apr,Andre Iguodala,4,6,2,1,0,2,4,26,Warriors
22-Apr,Kevon Looney,2,5,1,0,0,0,2,13,Warriors
22-Apr,Shaun Livingston,10,3,2,2,0,0,3,21,Warriors
22-Apr,David West,8,3,1,1,0,1,2,13,Warriors
22-Apr,Quuin Cook,4,1,1,0,1,0,1,15,Warriors
22-Apr,Stephen Curry,0,0,0,0,0,0,0,0,Warriors
22-Apr,Nick Young,0,0,0,0,0,0,1,8,Warriors
22-Apr,Jordan Bell,0,0,0,0,0,0,0,0,Warriors
22-Apr,Damian Jones,0,0,0,0,0,0,0,0,Warriors
22-Apr,Chris Boucher,0,0,0,0,0,0,0,0,Warriors
22-Apr,Patric McCaw,0,0,0,0,0,0,0,0,Warriors
22-Apr,Zaza Pachulia,0,0,0,0,0,0,0,0,Warriors
19-Apr,Kevin Durant,26,9,6,0,0,4,3,33,Warriors
19-Apr,Draymond Green,10,6,7,2,4,2,2,37,Warriors
19-Apr,JaVale McGee,6,4,1,0,1,0,1,15,Warriors
19-Apr,Klay Thompson,19,3,2,0,0,1,2,37,Warriors
19-Apr,Andre Iguodala,10,4,4,0,0,0,1,26,Warriors
19-Apr,Kevon Looney,4,2,1,3,1,0,2,22,Warriors
19-Apr,David West,2,4,3,1,1,0,1,17,Warriors
19-Apr,Shaun Livingston,16,3,1,1,0,1,1,19,Warriors
19-Apr,Quuin Cook,12,3,1,1,0,2,2,20,Warriors
19-Apr,Stephen Curry,0,0,0,0,0,0,0,0,Warriors
19-Apr,Jordan Bell,0,0,0,0,0,0,0,2,Warriors
19-Apr,Nick Young,3,0,0,0,0,0,0,2,Warriors
19-Apr,Damian Jones,2,1,0,0,0,0,1,2,Warriors
19-Apr,Chris Boucher,0,0,0,0,0,0,0,0,Warriors
19-Apr,Patric McCaw,0,0,0,0,0,0,0,0,Warriors
19-Apr,Zaza Pachulia,0,0,0,0,0,0,0,0,Warriors
16-Apr,Kevin Durant,32,6,6,0,1,2,4,38,Warriors
16-Apr,Draymond Green,9,5,6,2,0,2,5,35,Warriors
16-Apr,JaVale McGee,10,7,2,2,1,2,3,18,Warriors
16-Apr,Klay Thompson,31,0,5,0,0,1,1,39,Warriors
16-Apr,Andre Iguodala,14,7,5,1,1,2,2,27,Warriors
16-Apr,Kevon Looney,2,3,2,0,1,2,3,21,Warriors
16-Apr,David West,10,4,2,0,1,0,3,14,Warriors
